NAME                                      READY   STATUS             RESTARTS          AGE     IP               NODE    NOMINATED NODE   READINESS GATES
kafka-c948b8d64-jgmz5                     1/1     Running            0                 6d11h   10.233.75.59     node2   <none>           <none>
trisla-bc-nssmf-7c8ff9c4fc-kwmqd          1/1     Running            0                 10h     10.233.102.178   node1   <none>           <none>
trisla-bc-nssmf-856859f696-dwpzw          0/1     Running            10 (5m35s ago)    24m     10.233.102.168   node1   <none>           <none>
trisla-besu-5d9454c8f8-gf8c7              1/1     Running            0                 8m23s   10.233.75.24     node2   <none>           <none>
trisla-decision-engine-5d756bf98b-m6kfl   1/1     Running            0                 18s     10.233.102.184   node1   <none>           <none>
trisla-ml-nsmf-79d68dc4c5-48prv           1/1     Running            0                 18s     10.233.102.150   node1   <none>           <none>
trisla-nasp-adapter-5688bf5f8f-x4fm2      1/1     Running            0                 8d      10.233.102.190   node1   <none>           <none>
trisla-nasp-adapter-664894c59c-tv6m8      0/1     CrashLoopBackOff   369 (4m30s ago)   23h     10.233.102.146   node1   <none>           <none>
trisla-portal-backend-7498b598f7-hm7gw    1/1     Running            0                 12h     10.233.75.28     node2   <none>           <none>
trisla-portal-frontend-7dffd67779-mql7r   1/1     Running            0                 14h     10.233.75.12     node2   <none>           <none>
trisla-sem-csmf-f8d747657-spmtd           1/1     Running            0                 18s     10.233.102.164   node1   <none>           <none>
trisla-sla-agent-layer-6d944c889c-ntwqc   1/1     Running            0                 23h     10.233.102.145   node1   <none>           <none>
trisla-ui-dashboard-85755bf748-t9zfs      1/1     Running            0                 23h     10.233.102.149   node1   <none>           <none>
