NAME                                      READY   STATUS             RESTARTS          AGE     IP               NODE    NOMINATED NODE   READINESS GATES
http-diag                                 0/1     Completed          0                 5d23h   10.233.75.23     node2   <none>           <none>
kafka-c948b8d64-jgmz5                     1/1     Running            0                 6d11h   10.233.75.59     node2   <none>           <none>
ml-curl-20260119                          0/1     Error              0                 11h     10.233.75.27     node2   <none>           <none>
registry-sanity                           0/1     Completed          0                 28d     10.233.102.189   node1   <none>           <none>
registry-sanity-verify                    0/1     Completed          0                 28d     10.233.75.15     node2   <none>           <none>
trisla-bc-nssmf-6bf4ffb4b5-ffvkg          0/1     Running            164 (5m18s ago)   9h      10.233.102.153   node1   <none>           <none>
trisla-bc-nssmf-7c8ff9c4fc-kwmqd          1/1     Running            0                 9h      10.233.102.178   node1   <none>           <none>
trisla-decision-engine-687c6c95f7-bqq4z   1/1     Running            0                 9h      10.233.102.138   node1   <none>           <none>
trisla-ml-nsmf-599749957-hnbn5            1/2     CrashLoopBackOff   118 (39s ago)     9h      10.233.102.189   node1   <none>           <none>
trisla-nasp-adapter-5688bf5f8f-x4fm2      1/1     Running            0                 8d      10.233.102.190   node1   <none>           <none>
trisla-nasp-adapter-664894c59c-tv6m8      0/1     CrashLoopBackOff   363 (2m53s ago)   23h     10.233.102.146   node1   <none>           <none>
trisla-portal-backend-7498b598f7-hm7gw    1/1     Running            0                 11h     10.233.75.28     node2   <none>           <none>
trisla-portal-frontend-7dffd67779-mql7r   1/1     Running            0                 14h     10.233.75.12     node2   <none>           <none>
trisla-sem-csmf-9f56dcb9b-q72ck           1/1     Running            0                 9h      10.233.102.183   node1   <none>           <none>
trisla-sla-agent-layer-6d944c889c-ntwqc   1/1     Running            0                 23h     10.233.102.145   node1   <none>           <none>
trisla-ui-dashboard-85755bf748-t9zfs      1/1     Running            0                 23h     10.233.102.149   node1   <none>           <none>
