NAME                                      READY   STATUS              RESTARTS         AGE     IP               NODE    NOMINATED NODE   READINESS GATES
http-diag                                 0/1     Completed           0                5d3h    10.233.75.23     node2   <none>           <none>
kafka-c948b8d64-jgmz5                     1/1     Running             0                5d15h   10.233.75.59     node2   <none>           <none>
registry-sanity                           0/1     Completed           0                27d     10.233.102.189   node1   <none>           <none>
registry-sanity-verify                    0/1     Completed           0                27d     10.233.75.15     node2   <none>           <none>
trisla-bc-nssmf-7b5c6fd7b7-zc4zl          1/1     Running             0                23d     10.233.102.138   node1   <none>           <none>
trisla-bc-nssmf-7d99b476b7-r75jl          0/1     ImagePullBackOff    0                5d17h   10.233.102.155   node1   <none>           <none>
trisla-besu-6448cb6bc6-mxb84              1/1     Running             0                26d     10.233.75.56     node2   <none>           <none>
trisla-decision-engine-5c4b665cf5-cnbt7   1/1     Running             0                3h51m   10.233.102.164   node1   <none>           <none>
trisla-decision-engine-c4f9bcf86-8s7jz    0/1     ErrImageNeverPull   0                3h51m   10.233.102.168   node1   <none>           <none>
trisla-ml-nsmf-78844887fb-tsskz           1/1     Running             0                3h51m   10.233.102.184   node1   <none>           <none>
trisla-nasp-adapter-5688bf5f8f-x4fm2      1/1     Running             0                7d20h   10.233.102.190   node1   <none>           <none>
trisla-nasp-adapter-664894c59c-tv6m8      0/1     Running             62 (5m52s ago)   3h51m   10.233.102.146   node1   <none>           <none>
trisla-portal-backend-69568dbdb7-5z8k9    1/1     Running             0                5d13h   10.233.75.39     node2   <none>           <none>
trisla-portal-frontend-6dd98dc868-2nx7k   1/1     Running             0                27d     10.233.102.141   node1   <none>           <none>
trisla-sem-csmf-5f689d75d6-gbcb6          1/1     Running             0                3h51m   10.233.102.150   node1   <none>           <none>
trisla-sla-agent-layer-6d944c889c-ntwqc   1/1     Running             0                3h51m   10.233.102.145   node1   <none>           <none>
trisla-ui-dashboard-85755bf748-t9zfs      1/1     Running             0                3h51m   10.233.102.149   node1   <none>           <none>
